Date,Florida,Louisiana,Indiana,New_Jersey,North_Dakota,Minnesota
12/22/2020,10204,3699,3657,5229,270,1700
12/23/2020,11100,2974,4662,5437,225,1508
12/24/2020,12770,2565,6196,5258,274,1884
12/25/2020,8294,1074,5446,5403,133,1071
12/26/2020,8294,1075,3841,4602,110,1071
12/27/2020,7157,1074,1820,2954,93,2516
12/28/2020,8040,817,2465,3584,271,1077
12/29/2020,11748,3946,3976,4289,372,972
12/30/2020,13638,6744,4735,5287,294,1997
12/31/2020,16827,4046,6468,5525,275,2195
